Coding System,Codes,구분,병명,고려사항 구분,응급등급,고려사항 상세,비고
NACRS,1,심혈관계,심정지(비외상성),증상별 2차 고려사항,1,심정지 (비외상성),
NACRS,1,심혈관계,심정지(비외상성),증상별 2차 고려사항,5,심폐소생술의 대상이 아닌 경우,
NACRS,2,심혈관계,심정지(외상성),증상별 2차 고려사항,1,심정지 (외상성),
NACRS,2,심혈관계,심정지(외상성),증상별 2차 고려사항,5,심폐소생술의 대상이 아닌 경우,
NACRS,3,심혈관계,흉통 (심장성),활력징후 1차 고려사항 ,1,중증 호흡곤란,
NACRS,3,심혈관계,흉통 (심장성),활력징후 1차 고려사항 ,1,쇼크,
NACRS,3,심혈관계,흉통 (심장성),활력징후 1차 고려사항 ,1,"무의식 (U, GCS 3-8)",
NACRS,3,심혈관계,흉통 (심장성),활력징후 1차 고려사항 ,2,중등도 호흡곤란,
NACRS,3,심혈관계,흉통 (심장성),활력징후 1차 고려사항 ,2,혈역학적 장애,
NACRS,3,심혈관계,흉통 (심장성),활력징후 1차 고려사항 ,2,"의식변화 (V/P, GCS 9-13)",
NACRS,3,심혈관계,흉통 (심장성),활력징후 1차 고려사항 ,2,"열, 면역저하 상태",
NACRS,3,심혈관계,흉통 (심장성),활력징후 1차 고려사항 ,2,패혈증 의증 (3개 이상의 SIRS 기준 만족),
NACRS,3,심혈관계,흉통 (심장성),그 밖의 1차 고려사항,2,급성 중심성 중증 통증 (8-10),
NACRS,3,심혈관계,흉통 (심장성),증상별 2차 고려사항,1,활력징후,
NACRS,3,심혈관계,흉통 (심장성),증상별 2차 고려사항,2,심장성 흉통,
NACRS,4,심혈관계,흉통 (비심장성),활력징후 1차 고려사항 ,1,중증 호흡곤란,
NACRS,4,심혈관계,흉통 (비심장성),활력징후 1차 고려사항 ,1,쇼크,
NACRS,4,심혈관계,흉통 (비심장성),활력징후 1차 고려사항 ,1,"무의식 (U, GCS 3-8)",
NACRS,4,심혈관계,흉통 (비심장성),활력징후 1차 고려사항 ,2,중등도 호흡곤란,
NACRS,4,심혈관계,흉통 (비심장성),활력징후 1차 고려사항 ,2,혈역학적 장애,
